,FINAL_ID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,MACRO_GENSPECIES,FEEDINGHAB,TOLERANCE,NBI_P_TOLERANCE,NBI_N_TOLERANCE,TOLNAME,CLASSIFIER,PREVNAMES,COMMONNAME,REFERENCE
348,MONODIAMESA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PRODIAMESINAE,MONODIAMESA,MONODIAMESA,MONODIAMESA SP.,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,MONODIAMESA DIPECTINATA,MIDGE,36
785,MUSCULIUM_PARTUMEIUM,MOLLUSCA,PELECYPODA,VENEROIDEA,PISIDIIDAE,PISIDIIDAE,MUSCULIUM,MUSCULIUM_PARTUMEIUM,MUSCULIUM PARTUMEIUM,C-F,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,CLAM,"68,22"
787,MUSCULIUM_SP.,MOLLUSCA,PELECYPODA,VENEROIDEA,PISIDIIDAE,PISIDIIDAE,MUSCULIUM,MUSCULIUM,MUSCULIUM SP.,C-F,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,CLAM,83
786,MUSCULIUM_TRANSVERSUM,MOLLUSCA,PELECYPODA,VENEROIDEA,PISIDIIDAE,PISIDIIDAE,MUSCULIUM,MUSCULIUM_TRANSVERSUM,MUSCULIUM TRANSVERSUM,C-F,6,NA,NA,FACULTATIVE,MOLLUSCA,MUSCULIUM SP.,CLAM,"68,22"
113,MYSTACIDES_ALAFIMBRIATA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,MYSTACIDES,MYSTACIDES_ALAFIMBRIATA,MYSTACIDES ALAFIMBRIATA,C-G,4,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,129
114,MYSTACIDES_SEPULCHRALIS,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,MYSTACIDES,MYSTACIDES_SEPULCHRALIS,MYSTACIDES SEPULCHRALIS,C-G,4,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,129
115,MYSTACIDES_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,MYSTACIDES,MYSTACIDES,MYSTACIDES SP.,C-G,4,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,129
513,NAIS_BARBATA,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS BARBATA,C-G,8,NA,NA,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
514,NAIS_BEHNINGI,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS BEHNINGI,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
515,NAIS_BRETSCHERI,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS BRETSCHERI,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
629,NAIS_COMMUNIS,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS COMMUNIS,C-G,8,NA,NA,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
630,NAIS_ELINGUIS,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS ELINGUIS,C-G,10,NA,NA,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
631,NAIS_PARDALIS,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS PARDALIS,C-G,8,NA,NA,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
632,NAIS_SIMPLEX,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS SIMPLEX,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
634,NAIS_SP.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS SP.,C-G,8,NA,NA,TOLERANT,OLIGOCHAETA,NAIS SPP.,WORM,"18,83"
633,NAIS_VARIABILIS,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,NAIS,NAIS,NAIS VARIABILIS,C-G,10,5,0,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
1326,NANOCLADIUS_(NANOCLADIUS)_BALTICUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMIDAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS (NANOCLADIUS) BALTICUS,C-G,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,100
924,NANOCLADIUS_(PLECOPT.)_BRANCHICOLUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS (PLECOPT.) BRANCHICOLUS,PRD,3,NA,NA,INTOLERANT,CHIRONOMIDAE,NANOCLADIUS (PLECOPTERACOLUTHUS) SP.,MIDGE,"36,33"
925,NANOCLADIUS_(PLECOPTERACOLUTHUS)_DOWNESI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS (PLECOPTERACOLUTHUS) DOWNESI,PRD,3,NA,NA,INTOLERANT,CHIRONOMIDAE,NANOCLADIUS (PLECOPTERACOLUTHUS) SP.,MIDGE,36
927,NANOCLADIUS_(PLECOPTERACOLUTHUS)_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS (PLECOPTERACOLUTHUS) SP.,PRD,3,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,124
926,NANOCLADIUS_(PLECOPTERACOLUTHUS)_SP._5,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS (PLECOPTERACOLUTHUS) SP. 5,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,124
928,NANOCLADIUS_ALTERNANTHERAE?,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS ALTERNANTHERAE?,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,100
930,NANOCLADIUS_CRASSICORNUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS CRASSICORNUS,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,PSECTROCLADIUS SP. 1,MIDGE,100
931,NANOCLADIUS_DISTINCTUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS DISTINCTUS,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,PSECTROCLADIUS SP. 1,MIDGE,100
932,NANOCLADIUS_MINIMUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS MINIMUS,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,PSECTROCLADIUS SP. 1,MIDGE,100
929,NANOCLADIUS_NR._BALTICUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS NR. BALTICUS,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,"ACAMPTOCLADIUS SP., PHYCOIDELLA SP., PSECTROCLADIUS SP. 5, CARDIOCLADIUS SP. 2",MIDGE,100
933,NANOCLADIUS_RECTINERVIS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS RECTINERVIS,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,PSECTROCLADIUS SP. 1,MIDGE,100
935,NANOCLADIUS_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS SP.,C-G,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,PSECTROCLADIUS SP. 1,MIDGE,100
934,NANOCLADIUS_SPINIPLENUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,NANOCLADIUS,NANOCLADIUS,NANOCLADIUS SPINIPLENUS,C-G,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,PSECTROCLADIUS SP. 1,MIDGE,100
292,NATARSIA_BALTIMOREA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,NATARSIA,NATARSIA,NATARSIA BALTIMOREA,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NATARSIA BALTIMOREUS,MIDGE,"92,36"
294,NATARSIA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,NATARSIA,NATARSIA,NATARSIA SP.,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,92
293,NATARSIA_SP._A,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,NATARSIA,NATARSIA,NATARSIA SP. A,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,92
116,NECTOPSYCHE_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,NECTOPSYCHE,NECTOPSYCHE,NECTOPSYCHE SP.,SHR,3,NA,NA,INTOLERANT,TRICHOPTERA,LEPTOCELLA SP.,CADDISFLY,"125,50"
1290,NEMOTAULIUS_HOSTILIS,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,LIMNEPHILIDAE,NEMOTAULIUS,NEMOTAULIUS_HOSTILIS,NEMOTAULIUS HOSTILIS,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
1291,NEMOTAULIUS_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,LIMNEPHILIDAE,NEMOTAULIUS,NEMOTAULIUS,NEMOTAULIUS SP.,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
224,NEMOTELUS_SP.,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,STRATIOMYIDAE,NEMOTELUS,NEMOTELUS,NEMOTELUS SP.,C-G,7,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,SOLDIER FLY,"83, 59"
690,NEMOURA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,NEMOURIDAE,NEMOURA,NEMOURA,NEMOURA SP.,SHR,1,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"83,114"
429,NEOPERLA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,NEOPERLA,NEOPERLA,NEOPERLA SP.,PRD,3,5,5,INTOLERANT,PLECOPTERA,NEOPERLA CLYMENE,STONEFLY,"83,114"
1281,NEOPHYLAX_CONCINNUS,ARTHROPODA,INSECTA,TRICHOPTERA,UENOIDAE,UENOIDAE,NEOPHYLAX,NEOPHYLAX_CONCINNUS,NEOPHYLAX CONCINNUS,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,39
1282,NEOPHYLAX_FUSCUS,ARTHROPODA,INSECTA,TRICHOPTERA,UENOIDAE,UENOIDAE,NEOPHYLAX,NEOPHYLAX_FUSCUS,NEOPHYLAX FUSCUS,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,39
1283,NEOPHYLAX_OLIGIUS,ARTHROPODA,INSECTA,TRICHOPTERA,UENOIDAE,UENOIDAE,NEOPHYLAX,NEOPHYLAX_OLIGIUS,NEOPHYLAX OLIGIUS,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
1284,NEOPHYLAX_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,UENOIDAE,UENOIDAE,NEOPHYLAX,NEOPHYLAX,NEOPHYLAX SP.,SCR,3,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
230,NEOPLASTA_SP.,ARTHROPODA,INSECTA,DIPTERA,EMPIDIDAE,EMPIDIDAE,NEOPLASTA,NEOPLASTA,NEOPLASTA SP.,PRD,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DANCE FLY,83
1346,NEOPORUS_SP.,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,NEOPORUS,NEOPORUS,NEOPORUS SP.,PRD,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,NA
35,NEOSTEMPELLINA_REISSI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,NEOSTEMPELLINA,NEOSTEMPELLINA,NEOSTEMPELLINA REISSI,C-G,2,NA,NA,INTOLERANT,CHIRONOMIDAE,"STEMPELLINA SP. 1, STEMPELLINA WIRTHI, STEMPELLINA SP. 2, CONSTEMPELLINA SP. 3",MIDGE,21
36,NEOSTEMPELLINA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,NEOSTEMPELLINA,NEOSTEMPELLINA,NEOSTEMPELLINA SP.,C-G,2,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,21
1223,NEOTRICHIA_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILIDAE,NEOTRICHIA,NEOTRICHIA,NEOTRICHIA SP.,SCR,2,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
820,NEURECLIPSIS_BIMACULATA,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,POLYCENTROPODIDAE,NEURECLIPSIS,NEURECLIPSIS_BIMACULATA,NEURECLIPSIS BIMACULATA,C-F,7,NA,NA,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,125
821,NEURECLIPSIS_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,POLYCENTROPODIDAE,NEURECLIPSIS,NEURECLIPSIS,NEURECLIPSIS SP.,C-F,7,3,1,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,125
609,NEUROCORDULIA_SP.,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,CORDULIIDAE,NEUROCORDULIA,NEUROCORDULIA,NEUROCORDULIA SP.,PRD,2,NA,NA,INTOLERANT,INSECTS-OTHER,NA,DRAGONFLY,"83,122"
780,NIGRONIA_SERRICORNIS,ARTHROPODA,INSECTA,MEGALOPTERA,CORYDALIDAE,CORYDALIDAE,NIGRONIA,NIGRONIA_SERRICORNIS,NIGRONIA SERRICORNIS,PRD,4,10,8,INTOLERANT,INSECTS-OTHER,NIGRONIA SP.,DOBSONFLY,"83,76"
295,NILOTANYPUS_FIMBRIATUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,NILOTANYPUS,NILOTANYPUS_FIMBRIATUS,NILOTANYPUS FIMBRIATUS,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,"NILOTANYPUS SP. 1, PENTANEURA SP. 3",MIDGE,96
296,NILOTANYPUS_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,NILOTANYPUS,NILOTANYPUS,NILOTANYPUS SP.,PRD,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,PENTANEURA SP. 3,MIDGE,96
1123,NILOTHAUMA_BABIYI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,NILOTHAUMA,NILOTHAUMA_BABIYI,NILOTHAUMA BABIYI,C-G,6,NA,NA,INTOLERANT,CHIRONOMIDAE,"NILOTHAUMA SP., DEMICRYPTOCHIRONOMUS SP. 1",MIDGE,106
1124,NILOTHAUMA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,NILOTHAUMA,NILOTHAUMA,NILOTHAUMA SP.,C-G,6,NA,NA,INTOLERANT,CHIRONOMIDAE,NA,MIDGE,106
83,NIXE_(NIXE)_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,HEPTAGENIIDAE,HEPTAGENIIDAE,NIXE,NIXE,NIXE (NIXE) SP.,SCR,2,1,5,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,"83,43"
822,NYCTIOPHYLAX_CELTA,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,POLYCENTROPODIDAE,NYCTIOPHYLAX,NYCTIOPHYLAX_CELTA,NYCTIOPHYLAX CELTA,PRD,5,NA,NA,FACULTATIVE,TRICHOPTERA,"NYCTIOPHYLAX VESTITUS, PSYCHOMYIID GENUS B",CADDISFLY,"125,98"
823,NYCTIOPHYLAX_MOESTUS,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,POLYCENTROPODIDAE,NYCTIOPHYLAX,NYCTIOPHYLAX_MOESTUS,NYCTIOPHYLAX MOESTUS,PRD,5,NA,NA,FACULTATIVE,TRICHOPTERA,"NYCTIOPHYLAX SP. A, PSYCHOMYIID GENUS A",CADDISFLY,"125,98"
824,NYCTIOPHYLAX_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,POLYCENTROPODIDAE,NYCTIOPHYLAX,NYCTIOPHYLAX,NYCTIOPHYLAX SP.,PRD,5,NA,NA,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,"125,98"
244,NYMPHOMYIA_SP.,ARTHROPODA,INSECTA,DIPTERA,NYMPHOMYIIDAE,NYMPHOMYIIDAE,NYMPHOMYIA,NYMPHOMYIA,NYMPHOMYIA SP.,C-G,5,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,FLY,83
129,NYMPHULA_SP.,ARTHROPODA,INSECTA,LEPIDOPTERA,PYRALIDAE,PYRALIDAE,NYMPHULA,NYMPHULA,NYMPHULA SP.,SHR,7,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,MOTH,"83,66"
349,ODONTOMESA_FULVA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PRODIAMESINAE,ODONTOMESA,ODONTOMESA_FULVA,ODONTOMESA FULVA,C-G,5,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,"83,36"
350,ODONTOMESA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PRODIAMESINAE,ODONTOMESA,ODONTOMESA,ODONTOMESA SP.,C-G,5,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,"83,36"
1348,ODONTOMYIA_SP.,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,STRATIOMYIDAE,ODONTOMYIA,ODONTOMYIA,ODONTOMYIA SP.,C-G,7,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,SOLDIER FLY,NA
117,OECETIS_AVARA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,OECETIS,OECETIS_AVARA,OECETIS AVARA,PRD,5,NA,NA,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,44
118,OECETIS_CINERASCENS,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,OECETIS,OECETIS_CINERASCENS,OECETIS CINERASCENS,PRD,5,NA,NA,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,44
119,OECETIS_INCONSPICUA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,OECETIS,OECETIS_INCONSPICUA,OECETIS INCONSPICUA,PRD,5,NA,NA,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,44
120,OECETIS_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERIDAE,OECETIS,OECETIS,OECETIS SP.,PRD,5,NA,NA,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,125
1229,OLIGOSTOMIS_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,PHRYGANEIDAE,PHRYGANEIDAE,OLIGOSTOMIS,OLIGOSTOMIS,OLIGOSTOMIS SP.,PRD,2,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
635,OPHIDONAIS_SERPENTINA,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,OPHIDONAIS,OPHIDONAIS,OPHIDONAIS SERPENTINA,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
636,OPHIDONAIS_SP.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,OPHIDONAIS,OPHIDONAIS,OPHIDONAIS SP.,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
2,OPHIOGOMPHUS_CAROLUS,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,GOMPHIDAE,OPHIOGOMPHUS,OPHIOGOMPHUS_CAROLUS,OPHIOGOMPHUS CAROLUS,PRD,3,NA,NA,INTOLERANT,INSECTS-OTHER,NA,DRAGONFLY,"83, 122"
3,OPHIOGOMPHUS_MAINENSIS,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,GOMPHIDAE,OPHIOGOMPHUS,OPHIOGOMPHUS_MAINENSIS,OPHIOGOMPHUS MAINENSIS,PRD,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DRAGONFLY,"83, 122"
1297,OPHIOGOMPHUS_SP.,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,GOMPHIDAE,OPHIOGOMPHUS,OPHIOGOMPHUS,OPHIOGOMPHUS SP.,PRD,3,1,3,INTOLERANT,INSECTS-OTHER,NA,DRAGONFLY,"83,122"
751,OPTIOSERVUS_CRYOPHILUS,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,OPTIOSERVUS,OPTIOSERVUS_CRYOPHILUS,OPTIOSERVUS CRYOPHILUS,SCR,4,NA,NA,INTOLERANT,COLEOPTERA,NA,BEETLE,19
752,OPTIOSERVUS_FASTIDITUS,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,OPTIOSERVUS,OPTIOSERVUS_FASTIDITUS,OPTIOSERVUS FASTIDITUS,SCR,4,6,7,INTOLERANT,COLEOPTERA,NA,BEETLE,19
753,OPTIOSERVUS_IMMUNIS,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,OPTIOSERVUS,OPTIOSERVUS_IMMUNIS,OPTIOSERVUS IMMUNIS,SCR,4,NA,NA,INTOLERANT,COLEOPTERA,NA,BEETLE,19
755,OPTIOSERVUS_NR._SANDERSONI,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,OPTIOSERVUS,OPTIOSERVUS_SANDERSONI,OPTIOSERVUS NR. SANDERSONI,SCR,4,NA,NA,INTOLERANT,COLEOPTERA,NA,BEETLE,19
754,OPTIOSERVUS_OVALIS,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,OPTIOSERVUS,OPTIOSERVUS_OVALIS,OPTIOSERVUS OVALIS,SCR,4,9,4,INTOLERANT,COLEOPTERA,NA,BEETLE,19
757,OPTIOSERVUS_SP.,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,OPTIOSERVUS,OPTIOSERVUS,OPTIOSERVUS SP.,SCR,4,7,8,INTOLERANT,COLEOPTERA,NA,BEETLE,"83,19"
756,OPTIOSERVUS_TRIVITTATUS,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,OPTIOSERVUS,OPTIOSERVUS_TRIVITTATUS,OPTIOSERVUS TRIVITTATUS,SCR,4,7,6,INTOLERANT,COLEOPTERA,NA,BEETLE,19
891,ORCONECTES_OBSCURUS,ARTHROPODA,CRUSTACEA,DECAPODA,CAMBARIDAE,CAMBARIDAE,ORCONECTES,ORCONECTES_OBSCURUS,ORCONECTES OBSCURUS,C-G,6,NA,NA,FACULTATIVE,CRUSTACEA,NA,CRAYFISH,"83,108,5"
892,ORCONECTES_PROPINQUUS,ARTHROPODA,CRUSTACEA,DECAPODA,CAMBARIDAE,CAMBARIDAE,ORCONECTES,ORCONECTES_PROPINQUUS,ORCONECTES PROPINQUUS,C-G,6,NA,NA,FACULTATIVE,CRUSTACEA,NA,CRAYFISH,"83,108,5"
893,ORCONECTES_RUSTICUS,ARTHROPODA,CRUSTACEA,DECAPODA,CAMBARIDAE,CAMBARIDAE,ORCONECTES,ORCONECTES_RUSTICUS,ORCONECTES RUSTICUS,C-G,6,NA,NA,FACULTATIVE,CRUSTACEA,NA,CRAYFISH,"83,108,5"
894,ORCONECTES_SP.,ARTHROPODA,CRUSTACEA,DECAPODA,CAMBARIDAE,CAMBARIDAE,ORCONECTES,ORCONECTES,ORCONECTES SP.,C-G,6,NA,NA,FACULTATIVE,CRUSTACEA,NA,CRAYFISH,"83,108,5"
231,OREOGETON_SP.,ARTHROPODA,INSECTA,DIPTERA,EMPIDIDAE,EMPIDIDAE,OREOGETON,OREOGETON,OREOGETON SP.,PRD,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DANCE FLY,83
147,ORMOSIA_SP.,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,TIPULIDAE,ORMOSIA,ORMOSIA,ORMOSIA SP.,C-G,4,NA,NA,INTOLERANT,INSECTS-OTHER,NA,CRANE FLY,83
1025,ORTHOCLADIINAE_SP._C,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIINAE,ORTHOCLADIINAE,ORTHOCLADIINAE SP. C,C-G,5,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,36
936,ORTHOCLADIUS_(EUDACTYLOCLADIUS)_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (EUDACTYLOCLADIUS) SP.,C-G,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,NA,MIDGE,109
937,ORTHOCLADIUS_(EUORTHOCLAD.)_LUTEIPES,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIUS,ORTHOCLADIUS__LUTEIPES,ORTHOCLADIUS (EUORTHOCLAD.) LUTEIPES,C-G,6,NA,NA,FACULTATIVE,CHIRONOMIDAE,"ORTHOCLADIUS (EUORTHOCLADIUS) TYPE I SP.,ORTHOCLADIUS (EUORTHOCLAD.TYPE III SPP.,EUKIEFFERIELLA SP7",MIDGE,"109,110"
